Timestamp,BA_MATH,ENG_FIRST_LANGUAGE,WORRIED,HOURS_DEDICATED_TO_COURSE
8/24/2019 12:59:50,Yes,No,No,110
8/24/2019 13:00:39,No,No,No,35
8/24/2019 13:02:07,No,No,Yes,10
8/24/2019 13:05:15,Yes,Yes,No,20
8/24/2019 13:07:19,No,No,No,50
8/24/2019 13:11:22,Yes,No,No,50
8/24/2019 13:12:30,No,No,No,72
8/24/2019 13:13:40,Yes,No,Yes,30
8/24/2019 13:14:13,No,No,Yes,15
8/24/2019 13:14:35,No,Yes,No,30
8/24/2019 13:14:38,Yes,No,No,5
8/24/2019 13:14:40,No,No,Yes,70
8/24/2019 13:14:41,No,Yes,No,30
8/24/2019 13:14:49,No,No,No,8
8/24/2019 13:14:49,Yes,Yes,No,50
8/24/2019 13:14:49,Yes,No,No,20
8/24/2019 13:14:49,Yes,No,Yes,50
8/24/2019 13:14:56,Yes,No,No,40
8/24/2019 13:15:03,Yes,No,No,20
8/24/2019 13:15:06,No,Yes,No,3
8/24/2019 13:15:07,No,No,Yes,50
8/24/2019 13:15:10,No,No,No,10
8/24/2019 13:15:12,No,No,No,25
8/24/2019 13:15:14,Yes,No,Yes,25
8/24/2019 13:15:16,No,Yes,Yes,50
8/24/2019 13:15:19,No,No,Yes,50
8/24/2019 13:15:22,No,No,No,20
8/24/2019 13:15:27,Yes,Yes,Yes,20
8/24/2019 13:15:27,Yes,No,Yes,30
8/24/2019 13:15:31,No,Yes,No,25
8/24/2019 13:15:33,Yes,No,No,35
8/24/2019 13:15:34,No,No,No,10
8/24/2019 13:15:37,Yes,No,Yes,30
8/24/2019 13:15:38,Yes,No,No,35
8/24/2019 13:15:41,Yes,No,Yes,25
8/24/2019 13:15:45,No,Yes,No,75
8/24/2019 13:15:48,No,No,No,130
8/24/2019 13:15:52,No,No,Yes,40
8/24/2019 13:15:53,No,No,Yes,20
8/24/2019 13:15:54,No,No,No,15
8/24/2019 13:15:54,Yes,No,No,50
8/24/2019 13:15:57,No,No,Yes,40
8/24/2019 13:15:57,No,No,No,30
8/24/2019 13:16:04,No,No,Yes,35
8/24/2019 13:16:05,No,Yes,Yes,50
8/24/2019 13:16:05,Yes,No,No,35
8/24/2019 13:16:06,No,No,No,15
8/24/2019 13:16:07,Yes,No,Yes,38
8/24/2019 13:16:11,No,No,No,50
8/24/2019 13:16:12,No,No,Yes,30
8/24/2019 13:16:12,No,No,Yes,15
8/24/2019 13:16:47,Yes,No,No,80
8/24/2019 13:17:08,No,No,No,60
8/24/2019 13:41:53,Yes,No,No,50
8/24/2019 15:06:37,No,No,Yes,20
8/24/2019 19:34:04,Yes,No,No,200
8/24/2019 19:39:54,Yes,No,No,10
8/24/2019 22:38:30,No,No,Yes,35
