Timestamp,GOOD_ABSOLUTE,HARM,DISAGREE_HARM,GOOD,AVERAGE_GOOD,GREATER_GOOD,LIFE_PHONE,IDENTIFY_AS,ENGINEER
9/11/2019 20:07:37,yes,yes,yes,A,C,No,No,Engineer,1
9/11/2019 20:16:48,No,yes,no,C,C,No,No,Wanderer,0
9/11/2019 20:31:43,No,yes,yes,B,B,No,No,Engineer,1
9/11/2019 21:07:32,No,yes,yes,A,B,No,Yes,Engineer,1
9/11/2019 21:30:00,yes,No,yes,B,A,Yes,Yes,Engineer,1
9/11/2019 21:58:48,yes,yes,yes,A,C,No,Yes,Wanderer,0
9/11/2019 22:17:07,yes,yes,yes,B,B,No,Yes,Engineer,1
9/11/2019 22:23:36,yes,No,yes,A,C,Yes,Yes,Engineer,1
9/11/2019 23:30:34,No,yes,no,B,C,No,Yes,Wanderer,0
9/11/2019 23:48:00,yes,yes,yes,B,B,Yes,Yes,Engineer,1
9/12/2019 1:51:11,No,yes,no,B,C,No,Yes,Artist,0
9/12/2019 6:08:27,No,yes,no,B,B,No,Yes,Wanderer,0
9/12/2019 8:33:47,No,yes,yes,F,B,No,Yes,Artist,0
9/12/2019 13:06:03,No,yes,no,A,C,No,Yes,Engineer,1
9/13/2019 12:28:48,No,yes,no,B,C,No,Yes,Engineer,1
9/14/2019 9:40:11,yes,yes,yes,B,B,Yes,Yes,Engineer,1
9/14/2019 9:41:12,yes,yes,yes,B,B,No,Yes,Artist,0
9/14/2019 9:47:05,yes,yes,yes,B,C,Yes,No,Artist,0
9/14/2019 9:51:19,yes,yes,yes,F,F,No,Yes,Artist,0
9/14/2019 10:00:18,No,yes,no,C,C,No,Yes,Engineer,1
9/14/2019 10:15:06,No,yes,yes,B,C,Yes,No,Engineer,1
9/14/2019 11:10:51,No,yes,no,B,C,Yes,No,Engineer,1
9/14/2019 11:15:20,No,yes,yes,B,B,No,Yes,Engineer,1
9/14/2019 11:17:36,No,yes,yes,C,C,Yes,Yes,Engineer,1
9/14/2019 11:40:50,No,yes,no,B,C,No,No,Wanderer,0
9/14/2019 12:18:53,No,yes,yes,B,B,No,Yes,Engineer,1
9/14/2019 12:37:42,No,yes,yes,A,C,No,Yes,Wanderer,0
9/14/2019 13:05:08,yes,No,no,B,B,Yes,Yes,Wanderer,0
9/14/2019 13:57:44,No,yes,no,C,C,No,Yes,Wanderer,0
9/14/2019 13:58:05,yes,yes,yes,B,C,No,Yes,Engineer,1
9/14/2019 14:05:11,yes,yes,yes,B,B,Yes,Yes,Engineer,1
9/14/2019 14:50:10,yes,yes,no,B,B,No,Yes,Wanderer,0
9/14/2019 14:54:54,yes,yes,no,C,C,Yes,Yes,Wanderer,0
9/14/2019 14:58:58,No,yes,no,B,C,Yes,Yes,Wanderer,0
9/14/2019 15:21:50,No,yes,no,C,C,Yes,Yes,Engineer,1
9/14/2019 15:39:22,yes,yes,yes,B,B,No,Yes,Engineer,1
9/14/2019 16:05:50,No,yes,yes,B,C,Yes,Yes,Wanderer,0
9/14/2019 16:18:42,yes,yes,no,B,B,Yes,Yes,Engineer,1
9/14/2019 16:36:12,yes,yes,yes,B,B,Yes,Yes,Wanderer,0
9/14/2019 17:07:21,yes,yes,yes,C,D,Yes,Yes,Engineer,1
9/14/2019 17:32:10,No,yes,no,B,C,Yes,Yes,Engineer,1
9/14/2019 17:35:44,No,yes,yes,C,C,Yes,No,Engineer,1
9/14/2019 17:36:36,No,yes,no,C,C,No,No,Engineer,1
9/14/2019 17:47:29,No,yes,yes,B,D,Yes,Yes,Wanderer,0
9/14/2019 18:20:11,No,yes,no,B,C,Yes,Yes,Engineer,1
9/14/2019 18:50:56,No,yes,no,C,C,No,No,Engineer,1
9/14/2019 19:15:16,No,yes,no,B,B,No,Yes,Wanderer,0
9/14/2019 19:26:46,No,yes,yes,B,B,No,Yes,Engineer,1
9/14/2019 20:32:19,No,yes,no,B,B,No,Yes,Wanderer,0
9/14/2019 20:40:49,No,yes,no,B,D,No,Yes,Wanderer,0
9/14/2019 20:41:34,No,yes,yes,A,C,No,Yes,Wanderer,0
9/14/2019 20:43:51,No,yes,no,C,C,Yes,Yes,Engineer,1
9/14/2019 20:54:38,yes,yes,yes,D,C,No,Yes,Wanderer,0
9/14/2019 21:24:50,No,yes,no,C,C,Yes,Yes,Wanderer,0
9/14/2019 23:09:14,yes,yes,yes,C,C,Yes,No,Engineer,1
9/14/2019 23:20:27,yes,yes,no,B,C,Yes,Yes,Artist,0
9/14/2019 23:21:14,yes,yes,no,B,B,Yes,Yes,Engineer,1
9/14/2019 23:21:38,No,No,yes,B,B,No,No,Engineer,1
9/15/2019 0:50:16,yes,yes,yes,A,C,Yes,Yes,Engineer,1
9/15/2019 1:44:53,yes,yes,yes,B,C,No,Yes,Wanderer,0
9/15/2019 1:58:23,No,yes,no,B,B,No,Yes,Engineer,1
9/15/2019 2:25:44,yes,yes,no,C,C,No,Yes,Wanderer,0
9/15/2019 6:37:25,yes,yes,no,A,B,No,Yes,Artist,0
9/15/2019 8:34:19,yes,No,yes,A,B,No,Yes,Engineer,1
9/15/2019 14:37:15,No,yes,no,D,D,Yes,Yes,Wanderer,0
9/15/2019 19:44:36,yes,yes,no,B,B,No,Yes,Artist,0
9/15/2019 21:09:18,No,yes,yes,D,C,No,Yes,Artist,0
